title,nrec,author,date,link
[新聞] 防空飛彈指揮部 九月正式成軍,2,notepad67,8/22,https://www.ptt.cc/bbs/Military/M.1503388522.A.77A.html
[情報] 緊急，那些有力人士重視台灣汽車產業？,X1,oftisa,8/22,https://www.ptt.cc/bbs/Military/M.1503389114.A.05C.html
[新聞] 美國飛彈驅逐艦撞船,11,diechan,8/22,https://www.ptt.cc/bbs/Military/M.1503392993.A.F8F.html
[新聞] 美國飛彈驅逐艦撞船,13,notepad67,8/22,https://www.ptt.cc/bbs/Military/M.1503394266.A.F70.html
[新聞] 9月「天馬操演」一口氣射擊120枚拖式飛彈,,notepad67,8/22,https://www.ptt.cc/bbs/Military/M.1503402278.A.1C2.html
[新聞] 第七艦隊司令撤換,14,PsycoZero,8/23,https://www.ptt.cc/bbs/Military/M.1503456752.A.811.html
[討論] 天宮一號的結果,24,longyin,8/23,https://www.ptt.cc/bbs/Military/M.1503471612.A.DBF.html
[提問] 為什麼不使用煙霧彈,12,mesubutaMYS,8/23,https://www.ptt.cc/bbs/Military/M.1503487587.A.836.html
[閒聊] 是不是沒什麼顯卡下降的誘因了,12,NerVGear,9/30,https://www.ptt.cc/bbs/PC_Shopping/M.1664468779.A.147.html
[菜單]  35k更換新電腦（遊戲機）,7,taipinshan,9/30,https://www.ptt.cc/bbs/PC_Shopping/M.1664469755.A.252.html
[心得] windows 11 測試版,8,hn9480412,9/30,https://www.ptt.cc/bbs/PC_Shopping/M.1664474894.A.1D7.html
[請益] 要改機殼風扇 還是換一個？,23,radiohead56,9/30,https://www.ptt.cc/bbs/PC_Shopping/M.1664494197.A.5A5.html
[情報] pny cs3040 2tb pcie gen4 ssd $4799,29,DsLove710,9/30,https://www.ptt.cc/bbs/PC_Shopping/M.1664496375.A.A58.html
[情報] 二手礦卡洗乾淨再賣？網爆礦工強力水柱沖,38,chirex,9/30,https://www.ptt.cc/bbs/PC_Shopping/M.1664498849.A.7A4.html
[請益] amd 5900x,33,z1235379999,9/30,https://www.ptt.cc/bbs/PC_Shopping/M.1664499284.A.A6F.html
[菜單] 30k內升級順跑apex,9,cola556601,9/30,https://www.ptt.cc/bbs/PC_Shopping/M.1664503475.A.4F1.html
[請益] 顯示卡還會再低嗎？繼續等嗎,71,c654321000,9/30,https://www.ptt.cc/bbs/PC_Shopping/M.1664508880.A.E9C.html
［菜單]40-55k 遊戲影音機,4,ysu7107,9/30,https://www.ptt.cc/bbs/PC_Shopping/M.1664509633.A.045.html
[請益] 顯示卡還會再低嗎？繼續等嗎,6,waakye,9/30,https://www.ptt.cc/bbs/PC_Shopping/M.1664510823.A.751.html
[心得]近期華碩顯卡送修經驗,48,Elvester,9/30,https://www.ptt.cc/bbs/PC_Shopping/M.1664513413.A.BDC.html
[公告] invinciblek 水桶一百三十四日,31,AreLies,9/30,https://www.ptt.cc/bbs/PC_Shopping/M.1664515407.A.240.html
[請益] 3080ti vision 和 3080 suprim x 抉擇,28,singyosan,9/30,https://www.ptt.cc/bbs/PC_Shopping/M.1664518922.A.A97.html
[情報] 3600國外悄然回歸 改搭zen3核心 只賣$4k,21,oppoR20,9/30,https://www.ptt.cc/bbs/PC_Shopping/M.1664524621.A.7C8.html
[菜單] itx 模擬器多開,8,s20714dog,9/30,https://www.ptt.cc/bbs/PC_Shopping/M.1664524960.A.C52.html
[情報] 多張b650曝光:七星銀白itx但一塊黑色風扇,11,oppoR20,9/30,https://www.ptt.cc/bbs/PC_Shopping/M.1664528354.A.F45.html
[菜單] 30k左右itx影音剪片,5,swordsgod,9/30,https://www.ptt.cc/bbs/PC_Shopping/M.1664529263.A.DBB.html
[菜單] 30k輕遊戲文書機(cst350含os),7,pipi0927,9/30,https://www.ptt.cc/bbs/PC_Shopping/M.1664529840.A.EC4.html
[請益] 顯示卡還會再低嗎？繼續等嗎,67,namyoung,9/30,https://www.ptt.cc/bbs/PC_Shopping/M.1664529949.A.C72.html
[標的] 2330台積電,4,abcd425heart,3/19,https://www.ptt.cc/bbs/Stock/M.1584607930.A.69A.html
[新聞] 金管會再出手救市 禁止平盤以下放空,爆,bamama56,3/19,https://www.ptt.cc/bbs/Stock/M.1584608032.A.184.html
[心得] 漲多跌一下正常 而且央行降息了,8,IzumiKonata,3/19,https://www.ptt.cc/bbs/Stock/M.1584608042.A.081.html
[心得] 兩光散戶,3,aa123bb456,3/19,https://www.ptt.cc/bbs/Stock/M.1584608094.A.1E9.html
[心得] 我懷念的,7,joey0718,3/19,https://www.ptt.cc/bbs/Stock/M.1584608146.A.379.html
[心得] 倔強 改編五月天,13,yuinghoooo,3/19,https://www.ptt.cc/bbs/Stock/M.1584608411.A.53F.html
[請益] 台塑1301,5,YOYOISGOOD,3/19,https://www.ptt.cc/bbs/Stock/M.1584608460.A.AC7.html
[標的] 台積電2330   大家來預言低點!,99,biolive30,3/19,https://www.ptt.cc/bbs/Stock/M.1584608600.A.5C1.html
[心得] 降息是賣點不是買點！是版友我才告訴你,12,adsl12367,3/19,https://www.ptt.cc/bbs/Stock/M.1584608631.A.397.html
[請益] 台灣經濟開始衰退中嗎？,9,ben28,3/19,https://www.ptt.cc/bbs/Stock/M.1584608639.A.E61.html
[請益] 明天金融股會跌停嗎？抖~,42,MrKing,3/19,https://www.ptt.cc/bbs/Stock/M.1584608724.A.C87.html
[新聞] 雨天不收傘 顧立雄：企業貸款本金可展延,16,LineageM,3/19,https://www.ptt.cc/bbs/Stock/M.1584608876.A.7A3.html
[心得] 上次禁空令的走勢圖,68,leoz69927,3/19,https://www.ptt.cc/bbs/Stock/M.1584608927.A.EB7.html
[請益] 平盤以下禁止放空,7,wunotw,3/19,https://www.ptt.cc/bbs/Stock/M.1584609206.A.8C4.html
[心得] 等你下課,1,qwer9508,3/19,https://www.ptt.cc/bbs/Stock/M.1584609311.A.BE0.html
[心得] 上次禁空令的走勢圖,28,haha121,3/19,https://www.ptt.cc/bbs/Stock/M.1584609314.A.634.html
[心得] 七里香,4,chpinga,3/19,https://www.ptt.cc/bbs/Stock/M.1584609501.A.253.html
[請益]  2889 國票金,21,gy6543721,3/19,https://www.ptt.cc/bbs/Stock/M.1584609533.A.937.html
[其他] 三發-修正公告本公司董事會決議通過本公,1,humbler,3/19,https://www.ptt.cc/bbs/Stock/M.1584609665.A.929.html
[請益] 有沒有看到禁空令改做空的多軍？,19,iowarain,3/19,https://www.ptt.cc/bbs/Stock/M.1584609761.A.3F4.html
[請益] 機械碩畢業出路,29,Topest,4/04,https://www.ptt.cc/bbs/Tech_Job/M.1585932648.A.DB6.html
[新聞] 畢業保證面試！ 交大、台積電開半導體課…育半導體研發人才,13,B0858B,4/04,https://www.ptt.cc/bbs/Tech_Job/M.1585973767.A.2C7.html
